student_id,student_name,age,email,country,postal_code,grade,major,enrollment_date,graduation_date,tuition_fee,scholarship_amount
1,Daisi Knibb,25,dknibb0@sun.com,Malaysia,25610,B,Mathematics,11/15/2019,12/22/2024,47524.5,4538.67
2,Aryn Sango,21,asango1@behance.net,Argentina,3116,B,History,9/2/2018,4/3/2027,19304.68,1334.66
3,Cary Klaggeman,24,cklaggeman2@slate.com,Brazil,35460-000,B,Literature,5/1/2012,5/24/2029,39887.28,5281.55
4,Violette Twiggs,20,vtwiggs3@deviantart.com,China,,F,Science,7/9/2016,3/15/2025,24357.79,2321.76
5,Lefty Rase,18,lrase4@studiopress.com,Portugal,5120-504,B,Mathematics,9/5/2021,3/28/2030,26458.85,2390.23
6,Dannye Knutton,20,dknutton5@youtu.be,Philippines,2913,F,Science,6/15/2011,3/25/2026,28072.3,5114.46
7,Laurel Wickenden,21,lwickenden6@mozilla.com,China,,C,Mathematics,10/3/2012,5/11/2026,21297.49,8188.2
8,Sibby Treske,20,streske7@opensource.org,Indonesia,,F,History,5/6/2017,2/11/2026,19255.13,9281.5
9,Daisi Jereatt,20,djereatt8@wisc.edu,Palestinian Territory,,D,Literature,3/11/2018,6/16/2025,1409.5,489.82
10,Kalle Seson,22,kseson9@cafepress.com,Brazil,13170-000,C,Mathematics,11/16/2020,3/13/2024,4571.32,487.52
11,Mikel Mayoral,19,mmayorala@i2i.jp,Philippines,1267,F,Science,3/23/2018,5/6/2030,23192.11,6226.06
12,Bradford Yallowley,25,byallowleyb@sitemeter.com,Uzbekistan,,B,Mathematics,9/10/2018,10/10/2027,3228.69,9862.9
13,Daniel Smalman,18,dsmalmanc@csmonitor.com,China,,B,Science,9/8/2012,3/2/2026,17919.38,7895.22
14,William Pavey,25,wpaveyd@unc.edu,Indonesia,,A,Mathematics,2/8/2014,9/17/2030,35207.14,9122.46
15,Stormy Guerrieri,20,sguerrierie@bbb.org,China,,D,History,10/21/2012,5/8/2030,49506.73,6271.19
16,Rosamund Demelt,19,rdemeltf@hatena.ne.jp,Syria,,A,Mathematics,2/27/2016,2/28/2027,17771.6,1867.09
17,Bernie Oslar,23,boslarg@cbslocal.com,Indonesia,,F,Literature,6/26/2017,4/23/2027,12286.74,3247.86
18,Rois Grayson,23,rgraysonh@dyndns.org,Ukraine,,A,Mathematics,3/18/2018,10/7/2026,9363.72,3853.19
19,Janela Axton,22,jaxtoni@independent.co.uk,Poland,05-822,D,Mathematics,2/16/2010,12/7/2029,38254.59,5229.22
20,Starlin Rabb,22,srabbj@symantec.com,Uzbekistan,,A,Mathematics,9/18/2014,4/4/2026,12155.91,8382.08
21,Durward Bulcock,22,dbulcockk@homestead.com,China,,C,History,12/18/2016,4/10/2030,10765.48,9275.31
22,Sheree Fulham,25,sfulhaml@gravatar.com,Japan,949-1742,D,Science,5/17/2017,1/17/2027,23241.05,6322.29
23,Karlene Nannoni,22,knannonim@wikispaces.com,Russia,431373,A,Literature,4/22/2019,8/8/2024,6532.71,5716.26
24,Maxi Azema,21,mazeman@senate.gov,Peru,,B,Literature,7/13/2015,3/25/2024,29961.72,2230.16
25,Othelia Balam,18,obalamo@elpais.com,Brazil,57240-000,F,Science,6/13/2018,5/31/2028,29703.03,9008.13
26,Anthony Hollyar,21,ahollyarp@joomla.org,Greece,,D,Literature,12/10/2013,11/8/2028,23162.88,2507.05
27,Beverlie O'Suaird,19,bosuairdq@patch.com,Portugal,9760-016,F,Literature,2/3/2021,7/18/2024,10589.85,1583.71
28,Mikaela Tussaine,18,mtussainer@army.mil,Indonesia,,D,Science,1/6/2019,9/5/2027,1130.32,4904.98
29,Fancy Gould,20,fgoulds@wunderground.com,Philippines,6027,B,Mathematics,11/6/2019,1/4/2029,35695.57,606.36
30,Binky Gorcke,19,bgorcket@drupal.org,Peru,,A,Mathematics,5/10/2018,6/24/2028,20556.85,9802.1
31,Pavla Padmore,20,ppadmoreu@tripod.com,China,,B,Literature,4/23/2017,5/12/2024,9766.84,6833.02
32,Raoul Vazquez,23,rvazquezv@statcounter.com,Argentina,4751,F,History,3/2/2021,3/19/2028,25287.85,6250.75
33,Bevon Akister,20,bakisterw@ihg.com,Indonesia,,D,Literature,7/13/2019,3/8/2029,12336.7,9996.34
34,Danette Dollin,19,ddollinx@mayoclinic.com,Ukraine,,A,Literature,5/5/2017,5/21/2025,30393.12,2460.36
35,Sheffy Whellans,19,swhellansy@omniture.com,France,76418 CEDEX 9,B,Science,12/15/2013,9/24/2027,32268.91,6659.4
36,Barb Cestard,19,bcestardz@cnn.com,Mexico,87445,C,Science,12/24/2018,5/14/2027,26371.34,6555.31
37,Worthington Fagge,25,wfagge10@geocities.jp,Indonesia,,C,Science,8/22/2014,1/15/2027,19336.05,5690.83
38,Mark Ketteman,19,mketteman11@prnewswire.com,Peru,,D,Mathematics,9/1/2010,5/5/2027,49759.69,3795.47
39,Jack Gurnay,24,jgurnay12@nymag.com,Nigeria,,D,History,7/2/2016,4/30/2027,23254.75,2420.06
40,Nolie Bonhomme,18,nbonhomme13@kickstarter.com,Pakistan,94100,A,History,12/15/2010,3/10/2028,33840.86,1433.25
41,Terrye Mc Meekan,18,tmc14@statcounter.com,Indonesia,,C,History,1/3/2021,11/6/2025,8698.42,7156.19
42,Bryon Simonson,19,bsimonson15@nydailynews.com,Japan,834-0122,D,Science,8/26/2010,3/31/2025,5005.2,5396.55
43,Ainsley Molan,22,amolan16@dot.gov,Kazakhstan,,A,Science,10/7/2015,10/20/2029,15442.29,9950.83
44,Alair Hopkins,19,ahopkins17@drupal.org,Belarus,,A,Mathematics,1/27/2016,1/8/2026,21460.71,4782.19
45,Tobie Deares,22,tdeares18@sphinn.com,Peru,,D,Literature,7/7/2012,12/11/2026,35208.66,4894.27
46,Starlene Quin,20,squin19@miibeian.gov.cn,Colombia,760529,B,History,10/24/2011,7/11/2027,35423.3,5716.81
47,Barbi Wason,25,bwason1a@smugmug.com,Philippines,2445,D,History,7/21/2015,11/17/2029,41990.57,8137.18
48,Brenna Jeanequin,21,bjeanequin1b@cyberchimps.com,Philippines,8501,A,Mathematics,10/13/2018,8/1/2028,47743.21,6708.87
49,Findley Halkyard,24,fhalkyard1c@aol.com,China,,D,Science,12/23/2014,8/31/2029,46023.4,330.55
50,Zollie Thraves,21,zthraves1d@slate.com,Belarus,,B,Mathematics,8/28/2020,3/30/2026,30271.13,6820.32
51,Farley Leere,25,fleere1e@latimes.com,Ukraine,,B,History,8/8/2016,9/8/2027,17382.98,5292.85
52,Kendal Eastment,22,keastment1f@si.edu,South Sudan,,C,Science,12/26/2010,2/26/2026,6418.98,8522.23
53,Malanie McIan,20,mmcian1g@sohu.com,Philippines,7037,A,History,8/9/2018,12/2/2026,22745.61,9977.16
54,Griffin Purkess,22,gpurkess1h@howstuffworks.com,Indonesia,,A,History,1/20/2011,11/21/2026,31868.37,8002.37
55,Quill Hadlington,24,qhadlington1i@cnet.com,Japan,595-0814,D,Science,5/20/2010,1/24/2028,31602.0,7887.64
56,Urban Records,23,urecords1j@scribd.com,Poland,98-160,F,History,10/25/2012,2/5/2025,37632.16,7604.51
57,Shandee Gridon,21,sgridon1k@github.com,Serbia,,B,Literature,3/23/2017,6/1/2025,40785.48,226.36
58,Manon Warby,25,mwarby1l@weebly.com,Czech Republic,783 06,B,Science,4/24/2013,8/20/2030,7131.82,183.94
59,Brit Besque,22,bbesque1m@nifty.com,Bulgaria,6151,C,Literature,5/21/2015,2/4/2024,6780.78,3512.64
60,Riccardo Toombes,19,rtoombes1n@timesonline.co.uk,Vietnam,,D,History,2/19/2012,12/19/2027,39912.01,7984.5
61,Astrix Malster,25,amalster1o@dagondesign.com,Vietnam,,F,Mathematics,1/21/2018,9/25/2025,33598.18,8393.94
62,Burl Shotboulte,20,bshotboulte1p@kickstarter.com,Ecuador,,D,Literature,3/4/2015,3/4/2025,38921.5,3716.35
63,Jere McLagan,22,jmclagan1q@usa.gov,Peru,,A,Science,8/29/2010,4/7/2028,22689.56,3114.07
64,Ryley Pashen,21,rpashen1r@paypal.com,United States,62711,F,History,9/1/2014,8/22/2026,44484.42,7212.78
65,Zerk Ridler,19,zridler1s@prnewswire.com,Serbia,,C,Science,8/28/2019,6/14/2027,46867.58,5455.32
66,Stanislaus Allmark,21,sallmark1t@columbia.edu,China,,C,Literature,11/29/2012,8/28/2025,12473.6,3845.45
67,Man Degenhardt,24,mdegenhardt1u@nsw.gov.au,Indonesia,,D,History,12/15/2019,12/19/2025,11300.9,1389.81
68,Emile Crow,24,ecrow1v@unesco.org,Russia,188516,B,History,5/1/2011,7/12/2029,35589.18,725.44
69,Dacy Coonan,19,dcoonan1w@loc.gov,China,,D,History,11/21/2015,10/6/2026,39771.47,4175.31
70,Adrea Witsey,21,awitsey1x@amazon.co.jp,China,,D,Mathematics,7/14/2018,3/11/2029,21549.59,7427.43
71,Bernarr Caulier,24,bcaulier1y@bandcamp.com,Brazil,86900-000,D,Mathematics,5/8/2010,8/23/2025,47605.65,5269.43
72,Leonelle Schnieder,22,lschnieder1z@merriam-webster.com,Indonesia,,B,History,1/7/2013,2/17/2028,4745.19,9141.72
73,Tresa Cassimer,18,tcassimer20@clickbank.net,Indonesia,,F,Mathematics,3/9/2010,3/20/2028,18503.61,513.85
74,Charil Fison,21,cfison21@ifeng.com,Spain,03005,D,Mathematics,8/7/2013,10/29/2024,32181.12,4232.93
75,Brett Osmund,25,bosmund22@elegantthemes.com,Lithuania,96047,A,Science,7/31/2010,12/22/2028,13497.03,4859.51
76,Adey Crosston,20,acrosston23@webs.com,Macedonia,1236,C,Literature,5/8/2018,12/26/2029,8190.8,696.37
77,Elva Leroux,24,eleroux24@craigslist.org,China,,C,Science,8/18/2014,11/18/2025,18526.64,6644.45
78,Eloise Tunnadine,23,etunnadine25@techcrunch.com,China,,F,Literature,8/28/2010,2/14/2024,24578.52,9391.35
79,Samara Rosenfelt,23,srosenfelt26@163.com,Philippines,2434,C,Science,7/28/2020,9/7/2027,15841.57,7608.46
80,Henrie Cook,21,hcook27@edublogs.org,Argentina,5570,F,Literature,4/13/2012,3/12/2029,21823.52,1743.73
81,Maryann Stallibrass,22,mstallibrass28@howstuffworks.com,Greece,,D,Science,7/18/2011,5/23/2024,18917.82,4318.17
82,Leland Spadollini,25,lspadollini29@1688.com,Thailand,45220,F,History,12/25/2014,2/14/2027,34892.42,653.75
83,Lavinia Pomfrett,24,lpomfrett2a@businessweek.com,China,,F,Science,7/31/2015,8/21/2029,13919.16,4711.33
84,Raynell Ritzman,18,rritzman2b@fotki.com,Albania,,C,Mathematics,9/16/2021,2/28/2027,44353.3,3069.23
85,Lilias Matasov,25,lmatasov2c@4shared.com,United States,33731,F,Science,9/25/2017,2/6/2024,34294.62,784.35
86,Dominique Restall,20,drestall2d@tumblr.com,Costa Rica,50906,B,History,5/15/2020,12/26/2029,41345.82,5044.82
87,Eliot Lemery,24,elemery2e@photobucket.com,China,,C,Mathematics,2/4/2017,11/7/2026,8716.2,7704.34
88,Kenn Slamaker,19,kslamaker2f@addtoany.com,Ukraine,,F,Literature,7/31/2014,4/2/2024,16052.9,3458.91
89,Clea Dairton,20,cdairton2g@php.net,Bangladesh,8130,F,Literature,5/23/2018,6/25/2025,30974.06,7864.14
